setting,source_file,source_field,scope_note,source_rows,observed_units,medicare_allowed_per_unit,unit,units_per_claim,medicare_allowed_per_claim,commercial_multiplier,commercial_allowed_per_claim,claim_mix_share,weighted_contribution
inpatient,MUP_INP_RY26_P03_V10_DY24_PrvSvc.CSV,Avg_Tot_Pymt_Amt weighted by Tot_Dschrgs,,145879.0,4952481.0,18359.985540580597,discharge,1.0,18359.985540580597,2.1,38555.969635219255,0.02,771.1193927043851
outpatient_procedural,MUP_OUT_RY26_P04_V10_DY24_Prov_Svc.csv,Avg_Mdcr_Alowd_Amt weighted by CAPC_Srvcs,Comprehensive APCs only: 68 procedural APC groups carry a priced row (72 appear in the file; 4 have no allowed amount). Not representative of routine outpatient volume.,63518.0,5266556.0,5122.979248909524,C-APC service,1.4,7172.170948473334,2.6,18647.64446603067,0.015,279.71466699046005
outpatient_ancillary,derived from MUP_PHY_R26_P05_V10_D24_Prov.csv,professional per-line rate x 1.9 facility uplift,"Derived, not directly observed. Covers lab, imaging, clinic, and therapy volume absent from the C-APC file.",1296739.0,3510829920.2,82.3433882522461,HCPCS line,3.0,247.03016475673832,2.6,642.2784283675196,0.3,192.68352851025588
professional,MUP_PHY_R26_P05_V10_D24_Prov.csv,sum(Tot_Mdcr_Alowd_Amt) / sum(Tot_Srvcs),National totals across all rendering providers.,1296739.0,3510829920.2,43.338625395919,service line,2.3,99.6788384106137,1.4,139.55037377485917,0.665,92.80099856028136
BLENDED,,,,,,,,,,,1336.3185867653824,1.0,1336.3185867653824
