rank,root_cause,owner,denials,appeal_gap,net_recovery,prevention_value,total_opportunity,net_recovery_selective,appeal_cost,expected_overturned,appeal_recommended,recovery_probability,effort_hours,value_score,ease_score,prob_score,priority_score,wave
1,Unclassified,Revenue Integrity,22658.752248766858,9004.47873589717,-194049.35974195926,2525394.5821425617,2525394.5821425617,0.0,1116555.363251249,2937.5878994115624,False,0.32623630812748794,18008.95747179434,1.0,0.0,0.5,0.675,Wave 1 (0-90 days)
2,Mid-Cycle: Coding & Claim Submission,HIM / Coding,5648.675461374495,3939.3589921387047,220405.89183665038,1259127.9740227642,1479533.8658594147,220405.89183665038,183180.19313444977,1285.1619339841527,True,0.32623630812748794,2954.5192441040285,0.5855364419181152,0.838207157419905,0.5,0.6146864745389444,Wave 1 (0-90 days)
3,Front-End: Authorization & Referral,Patient Access,1989.8723005883558,1089.2464892456344,44059.676582276064,471278.2472647673,515337.92384704336,44059.676582276064,67533.28233322933,355.3517532923233,True,0.32623630812748794,1089.2464892456344,0.2034357715393919,0.9420625753382477,0.5,0.4253021894143151,Wave 2 (90-180 days)
4,Front-End: Eligibility & Network Verification,Patient Access,1653.7282263936029,452.598987808143,16305.922438560068,366251.6874366668,382557.6098752269,16305.922438560068,30062.700963340743,147.6542228447665,True,0.32623630812748794,484.88227360227006,0.1508163352079772,0.9757126128606677,0.5,0.403091506936521,Wave 2 (90-180 days)
5,Benefit Design: Contractual Exclusion,Contracting / Benefits,3815.6606974903148,562.4099628961756,-12120.112270066704,265792.68208768993,265792.68208768993,0.0,69738.83539912578,183.4785499493658,False,0.32623630812748794,1124.8199257923511,0.10454362730669396,0.9400819030158069,0.5,0.3705153756218431,Wave 3 (180+ days)
6,Benefit Design: Benefit Maximum Reached,Contracting / Benefits,861.5574414624191,170.06727891542917,6879.167736800282,72017.61832424636,78896.78606104665,6879.167736800282,10544.171292756608,55.48212120665738,True,0.32623630812748794,170.06727891542917,0.030478757241210675,0.9932410106539679,0.5,0.3404115186134595,Wave 3 (180+ days)
7,Clinical: Medical Necessity,Clinical Documentation Improvement,632.0246726438569,472.3721886035131,-39466.84549985811,79246.44856304245,79246.44856304245,0.0,87861.22708025343,154.10495887211155,False,0.32623630812748794,1417.1165658105392,0.030617324798485442,0.9238072913665734,0.5,0.3266009869124817,Wave 3 (180+ days)
8,Clinical: Coverage Policy,Utilization Management,20.36922794848657,12.168478423628912,-1771.1258765119403,1986.4419351706597,1986.4419351706597,0.0,3017.78264905997,3.9697994764536904,False,0.32623630812748794,48.67391369451565,0.0,1.0,0.5,0.325,Wave 3 (180+ days)
9,Clinical: Medical Necessity (Behavioral Health),Clinical Documentation Improvement,204.29474914686858,162.90364653271922,-18660.664143878712,22769.34082651235,22769.34082651235,0.0,35350.09129760007,53.14508422533957,False,0.32623630812748794,570.1627628645173,0.008236043373321926,0.970964330964874,0.5,0.3237226900483019,Wave 3 (180+ days)
