plan_year,schema_generation,source_rows,rows_after_footer_drop,unmapped_source_columns,unmapped_list
2022,GEN1,5152,5152,5,Issuer_Percent_Internal_Appeals_Overturned; Issuer_Percent_External_Appeals_Overturned; Plan_Number_Claims_Denied_Out_of_Network; Rate_Review; Financial_Information
2023,GEN1,6764,6764,7,Issuer_Percent_Internal_Appeals_Overturned; Issuer_Percent_External_Appeals_Overturned; Plan_Number_Claims_Denied_Out_of_Network; Rate_Review; Financial_Information; Average Monthly Enrollment; Average Monthly Disenrollment
2024,GEN2,5050,5050,5,Issuer_Percent_Internal_Appeals_Overturned; Issuer_Percent_External_Appeals_Overturned; Plan_Number_Claims_Denied_Not_Medically_Necessary_Excluding_Behavioral_Health; Rate_Review; Financial_Information
2025,GEN3,4541,4541,4,Issuer_Percent_Internal_Appeals_Overturned; Issuer_Percent_External_Appeals_Overturned; Rate_Review; Financial_Information
2026,GEN3,4159,4159,4,Issuer_Percent_Internal_Appeals_Overturned; Issuer_Percent_External_Appeals_Overturned; Rate_Review; Financial_Information
