geo_key,state
1,AK
2,AL
3,AR
4,AZ
5,DE
6,FL
7,GA
8,HI
9,IA
10,IL
11,IN
12,KS
13,LA
14,MI
15,MO
16,MS
17,MT
18,NC
19,ND
20,NE
21,NH
22,OH
23,OK
24,OR
25,SC
26,SD
27,TN
28,TX
29,UT
30,VA
31,WI
32,WV
33,WY
